                nm	               Cts	
      564.02801514	    43207.63671875	
      564.05603027	    43213.80468750	
      564.08398438	    43164.08203125	
      564.11199951	    43194.85546875	
      564.14001465	    43287.89453125	
      564.16802979	    43194.18750000	
      564.19598389	    43220.05859375	
      564.22399902	    43250.79296875	
      564.25201416	    43258.93750000	
      564.28002930	    43279.16406250	
      564.30798340	    43340.71875000	
      564.33599854	    43380.45312500	
      564.36401367	    43389.65625000	
      564.39202881	    43300.10546875	
      564.41998291	    43185.91796875	
      564.44799805	    43112.26562500	
      564.47601318	    43096.41015625	
      564.50402832	    43085.99609375	
      564.53198242	    43100.80468750	
      564.55999756	    43120.41796875	
      564.58801270	    43113.13671875	
      564.61602783	    43091.86328125	
      564.64398193	    43084.33203125	
      564.67199707	    43103.25000000	
      564.70001221	    43100.41406250	
      564.72802734	    43041.87109375	
      564.75598145	    43010.46093750	
      564.78399658	    43044.70312500	
      564.81201172	    43061.79296875	
      564.84002686	    43053.44921875	
      564.86798096	    43061.24218750	
      564.89599609	    43049.05468750	
      564.92401123	    43054.25000000	
      564.95202637	    43106.12500000	
      564.97998047	    43056.02734375	
      565.00799561	    43011.16015625	
      565.03601074	    43044.19140625	
      565.06402588	    43034.73046875	
      565.09197998	    42989.70703125	
      565.11999512	    43055.55859375	
      565.14801025	    43132.16406250	
      565.17602539	    43092.56640625	
      565.20397949	    43062.94921875	
      565.23199463	    43030.52734375	
      565.26000977	    43103.98437500	
      565.28802490	    43044.99218750	
      565.31597900	    43022.47656250	
      565.34399414	    43075.65625000	
      565.37200928	    43085.76953125	
      565.40002441	    43103.11718750	
      565.42797852	    43132.45703125	
      565.45599365	    43138.98437500	
      565.48400879	    43188.02343750	
      565.51202393	    43201.07421875	
      565.53997803	    43137.08984375	
      565.56799316	    43134.89843750	
      565.59600830	    43112.33593750	
      565.62402344	    43094.61328125	
      565.65197754	    43159.49218750	
      565.67999268	    43206.19921875	
      565.70800781	    43254.59765625	
      565.73602295	    43266.92187500	
      565.76397705	    43152.62109375	
      565.79199219	    43176.64062500	
      565.82000732	    43184.87500000	
      565.84802246	    43233.49609375	
      565.87597656	    43202.34375000	
      565.90399170	    43204.33593750	
      565.93200684	    43220.39843750	
      565.96002197	    43231.80859375	
      565.98797607	    43262.09765625	
      566.01599121	    43335.94140625	
      566.04400635	    43366.69531250	
      566.07202148	    43301.75781250	
      566.09997559	    43196.10937500	
      566.12799072	    43145.46484375	
      566.15600586	    43172.88281250	
      566.18402100	    43122.17968750	
      566.21197510	    43025.33203125	
      566.23999023	    43003.15625000	
      566.26800537	    43019.67968750	
      566.29602051	    43055.71484375	
      566.32397461	    43101.62500000	
      566.35198975	    43088.63671875	
      566.38000488	    43049.86718750	
      566.40802002	    43035.53125000	
      566.43597412	    43013.13281250	
      566.46398926	    42997.01171875	
      566.49200439	    43080.29687500	
      566.52001953	    43056.67187500	
      566.54797363	    43011.83984375	
      566.57598877	    43117.41406250	
      566.60400391	    43161.48046875	
      566.63201904	    43191.85546875	
      566.65997314	    43058.34375000	
      566.68798828	    43109.01171875	
      566.71600342	    43057.70312500	
      566.74401855	    42995.55859375	
      566.77197266	    43096.18750000	
      566.79998779	    43136.41796875	
      566.82800293	    43141.17187500	
      566.85601807	    43175.59375000	
      566.88397217	    43091.21875000	
      566.91198730	    43074.27734375	
      566.94000244	    43081.91406250	
      566.96801758	    43040.61718750	
      566.99597168	    43000.32421875	
      567.02398682	    43040.89453125	
      567.05200195	    43089.40234375	
      567.08001709	    43068.71093750	
      567.10797119	    43090.23828125	
      567.13598633	    43156.14843750	
      567.16400146	    43130.12500000	
      567.19201660	    43103.98046875	
      567.21997070	    43157.73046875	
      567.24798584	    43162.34375000	
      567.27600098	    43151.56640625	
      567.30401611	    43163.52734375	
      567.33197021	    43192.20703125	
      567.35998535	    43218.05859375	
      567.38800049	    43231.58203125	
      567.41601563	    43178.91015625	
      567.44403076	    43140.34765625	
      567.47198486	    43116.64062500	
      567.50000000	    43119.71875000	
      567.52801514	    43191.60156250	
      567.55603027	    43196.28515625	
      567.58398438	    43156.94921875	
      567.61199951	    43189.00781250	
      567.64001465	    43251.49609375	
      567.66802979	    43267.76953125	
      567.69598389	    43293.71875000	
      567.72399902	    43347.32031250	
      567.75201416	    43327.38671875	
      567.78002930	    43275.32812500	
      567.80798340	    43196.56250000	
      567.83599854	    43085.98437500	
      567.86401367	    43094.41406250	
      567.89202881	    43184.93750000	
      567.91998291	    43180.07421875	
      567.94799805	    43140.17578125	
      567.97601318	    43151.72656250	
      568.00402832	    43137.86328125	
      568.03198242	    43097.98437500	
      568.05999756	    43108.13281250	
      568.08801270	    43170.56640625	
      568.11602783	    43148.10156250	
      568.14398193	    43149.41015625	
      568.17199707	    43167.14843750	
      568.20001221	    43125.75000000	
      568.22802734	    43119.97265625	
      568.25598145	    43099.69921875	
      568.28399658	    43084.73046875	
