                nm	               Cts	
      378.32998657	      858.54656982	
      378.35998535	      866.89703369	
      378.38998413	      926.99530029	
      378.41998291	     1148.30419922	
      378.44998169	     1077.02661133	
      378.47998047	      842.10607910	
      378.50997925	      843.95526123	
      378.53997803	      838.22882080	
      378.56997681	     1004.59973145	
      378.59997559	     1216.55419922	
      378.63000488	     1000.41326904	
      378.66000366	      849.90594482	
      378.69000244	      739.25903320	
      378.72000122	      927.26531982	
      378.75000000	     1151.95141602	
      378.77999878	     1214.85778809	
      378.80999756	     1016.54351807	
      378.83999634	      857.49597168	
      378.86999512	      876.23443604	
      378.89999390	     1006.07958984	
      378.92999268	     1219.43164063	
      378.95999146	     1197.33923340	
      378.98999023	      903.69372559	
      379.01998901	      879.68249512	
      379.04998779	     1009.20874023	
      379.07998657	      969.29687500	
      379.10998535	     1109.50866699	
      379.13998413	     1176.64062500	
      379.16998291	     1047.96362305	
      379.19998169	     1025.05786133	
      379.22998047	      897.46411133	
      379.25997925	     1058.81225586	
      379.28997803	     1084.36169434	
      379.31997681	     1195.50000000	
      379.34997559	     1026.08581543	
      379.38000488	      856.69909668	
      379.41000366	      962.87066650	
      379.44000244	     1016.61578369	
      379.47000122	     1061.13415527	
      379.50000000	     1138.56555176	
      379.52999878	     1054.21423340	
      379.55999756	      983.68450928	
      379.58999634	     1056.60119629	
      379.61999512	     1060.53527832	
      379.64999390	     1141.68554688	
      379.67999268	     1174.93530273	
      379.70999146	      932.35528564	
      379.73999023	     1032.93847656	
      379.76998901	     1180.89855957	
      379.79998779	      932.50836182	
      379.82998657	     1022.48138428	
      379.85998535	     1216.41442871	
      379.88998413	     1048.95397949	
      379.91998291	     1242.57482910	
      379.94998169	      966.83673096	
      379.97998047	      963.66064453	
      380.00997925	     1153.89489746	
      380.03997803	     1215.62768555	
      380.06997681	     1250.26416016	
      380.09997559	     1093.60693359	
      380.13000488	      885.86163330	
      380.16000366	      930.31298828	
      380.19000244	     1341.52416992	
      380.22000122	     1458.15368652	
      380.25000000	     1011.66473389	
      380.27999878	      839.52813721	
      380.30999756	      975.31048584	
      380.33999634	     1220.41247559	
      380.36999512	     1395.72204590	
      380.39999390	     1156.91589355	
      380.42999268	     1007.49505615	
      380.45999146	      996.28009033	
      380.48999023	     1038.46008301	
      380.51998901	     1368.05078125	
      380.54998779	     1422.35217285	
      380.57998657	     1050.54589844	
      380.60998535	     1106.61254883	
      380.63998413	      993.06805420	
      380.66998291	     1173.13317871	
      380.69998169	     1421.54052734	
      380.72998047	     1254.26367188	
      380.75997925	     1040.35778809	
      380.78997803	     1029.79223633	
      380.81997681	     1209.21337891	
      380.84997559	     1311.95239258	
      380.88000488	     1236.10253906	
      380.91000366	     1105.98876953	
      380.94000244	     1016.07427979	
      380.97000122	     1138.47619629	
      381.00000000	     1277.62097168	
      381.02999878	     1335.81408691	
      381.05999756	     1327.55737305	
      381.08999634	     1020.58496094	
      381.11999512	     1214.97363281	
      381.14999390	     1254.14282227	
      381.17999268	     1220.70617676	
      381.20999146	     1394.87500000	
      381.23999023	     1073.06408691	
      381.26998901	     1393.16979980	
      381.29998779	     1112.09509277	
      381.32998657	     1069.16247559	
      381.35998535	     1465.06542969	
      381.38998413	     1519.44653320	
      381.41998291	     1334.70507813	
      381.44998169	     1078.77685547	
      381.47998047	     1091.94726563	
      381.50997925	     1496.21752930	
      381.53997803	     1617.03271484	
      381.56997681	     1255.18737793	
      381.59997559	     1069.50744629	
      381.63000488	     1248.59838867	
      381.66000366	     1595.52551270	
      381.69000244	     1724.65344238	
      381.72000122	     1309.26123047	
      381.75000000	     1081.09533691	
      381.77999878	     1181.67468262	
      381.80999756	     1298.21630859	
      381.83999634	     1698.55334473	
      381.86999512	     1306.48486328	
      381.89999390	     1164.86865234	
      381.92999268	     1117.37463379	
      381.95999146	     1391.46252441	
      381.98999023	     1720.77917480	
      382.01998901	     1401.89758301	
      382.04998779	     1163.21093750	
      382.07998657	     1327.14086914	
